<DATE>;  GAZP
02/05/20;  232.56
02/06/20;  231.38
02/07/20;  229.11
02/10/20;  225.2
02/11/20;  233.9
02/12/20;  238.03
02/13/20;  233.55
02/14/20;  232.5
02/17/20;  233.75
02/18/20;  230.5
02/19/20;  231.9
02/20/20;  234.6
02/21/20;232
02/25/20;  224.68
02/26/20;  224.76
02/27/20;  217.5
02/28/20;  202.65
03/02/20;  198.78
03/03/20;  201.48
03/04/20;200
03/05/20;198
03/06/20;  188.27
03/10/20;171
03/11/20;  172.03
03/12/20;  163.73
03/13/20;  166.1
03/16/20;  168.07
03/17/20;167
03/18/20;  166.34
03/19/20;  174.56
03/20/20;  176.26
03/23/20;  168.35
03/24/20;  177.95
03/25/20;  180.2
03/26/20;  181.5
03/27/20;  174.5
03/30/20;  176.44
03/31/20;  181.41
04/01/20;  180.06
04/02/20;  187.04
04/03/20;  189.77
04/06/20;  191.1
04/07/20;  191.22
04/08/20;  194.11
04/09/20;  193.86
04/10/20;192
04/13/20;  188.07
04/14/20;  190.11
04/15/20;  184.25
04/16/20;  184.3
04/17/20;  184.68
04/20/20;  185.51
04/21/20;  181.92
04/22/20;  188.36
04/23/20;  188.73
04/24/20;  185.71
04/27/20;  186.29
04/28/20;  188.5
04/29/20;  193.87
04/30/20;190
05/04/20;  185.7
05/05/20;190
05/06/20;  187.05
05/07/20;  185.85
05/08/20;  185.34
05/12/20;  186.17
05/13/20;  184.2
05/14/20;  183.91
05/15/20;  183.85
05/18/20;  192.5
05/19/20;  194.2
05/20/20;  196.74
05/21/20;  194.74
05/22/20;  194.35
05/25/20;  197.55
05/26/20;  196.86
05/27/20;  194.73
05/28/20;  196.86
05/29/20;  199.95
06/01/20;  198.72
06/02/20;  201.97
06/03/20;208
06/04/20;  201.46
06/05/20;  203.05
06/08/20;  204.91
06/09/20;  204.84
06/10/20;  201.75
06/11/20;  196.74
06/15/20;  194.2
06/16/20;  196.59
06/17/20;  195.86
06/18/20;193
06/19/20;  195.81
06/22/20;  194.3
06/23/20;  194.83
06/25/20;  192.25
06/26/20;193
06/29/20;  197.94
06/30/20;  194.31
07/02/20;  195.28
07/03/20;  197.2
07/06/20;  199.99
07/07/20;  197.96
07/08/20;  201.17
07/09/20;  199.44
07/10/20;  200.94
07/13/20;  195.7
07/14/20;  193.6
07/15/20;  182.26
07/16/20;  183.32
07/17/20;  184.65
07/20/20;  188.36
07/21/20;  186.78
07/22/20;  187.15
07/23/20;  184.69
07/24/20;  185.45
07/27/20;  185.03
07/28/20;  184.3
07/29/20;  184.69
07/30/20;  182.52
07/31/20;  182.59
08/03/20;  183.6
08/04/20;  183.31
08/05/20;  189.15
08/06/20;  189.07
08/07/20;  187.23
08/10/20;  187.7
08/11/20;  189.7
08/12/20;  192.8
08/13/20;  193.76
08/14/20;  192.83
08/17/20;  190.47
08/18/20;  190.3
08/19/20;  189.26
08/20/20;  186.95
08/21/20;  184.51
08/24/20;  187.1
08/25/20;  186.25
08/26/20;  187.48
08/27/20;  184.58
08/28/20;  182.9
08/31/20;  181.01
09/01/20;  184.22
09/02/20;  181.95
09/03/20;  179.13
09/04/20;  179.55
09/07/20;  177.04
09/08/20;  172.95
09/09/20;  173.69
09/10/20;  173.8
09/11/20;  178.05
09/14/20;  178.19
09/15/20;  182.22
09/16/20;  183.26
09/17/20;  183.9
09/18/20;  181.52
09/21/20;  177.17
09/22/20;179
09/23/20;177
09/24/20;  174.23
09/25/20;  173.77
09/28/20;  172.74
09/29/20;  171.44
09/30/20;  169.97
10/01/20;  168.4
10/02/20;  169.47
10/05/20;  170.64
10/06/20;  171.35
10/07/20;  168.23
10/08/20;  167.43
10/09/20;  166.97
10/12/20;  169.05
10/13/20;  166.37
10/14/20;  167.24
10/15/20;  167.16
10/16/20;  163.98
10/19/20;  163.6
10/20/20;  166.53
10/21/20;  164.37
10/22/20;  165.27
10/23/20;  164.96
10/26/20;  162.17
10/27/20;  159.21
10/28/20;  154.3
10/29/20;  156.74
10/30/20;  154.28
11/02/20;  157.74
11/03/20;  161.09
11/05/20;  163.7
11/06/20;  164.92
11/09/20;  170.13
11/10/20;  172.92
11/11/20;  170.53
11/12/20;  172.91
11/13/20;  180.3
11/16/20;  185.32
11/17/20;  182.9
11/18/20;185
11/19/20;  184.16
11/20/20;  183.21
11/23/20;  184.15
11/24/20;  186.76
11/25/20;  188.03
11/26/20;  185.52
11/27/20;  185.9
11/30/20;  181.89
12/01/20;  185.34
12/02/20;  187.22
12/03/20;  185.12
12/04/20;  188.79
12/07/20;  190.76
12/08/20;190
12/09/20;  189.35
12/10/20;  192.95
12/11/20;  201.5
12/14/20;  199.91
12/15/20;201
12/16/20;  206.2
12/17/20;  214.52
12/18/20;  212.69
12/21/20;  203.46
12/22/20;  208.4
12/23/20;  207.63
12/24/20;  206.24
12/25/20;  205.03
12/28/20;  206.11
12/29/20;  208.75
12/30/20;  212.98
01/04/21;  212.71
01/05/21;  215.32
01/06/21;  214.38
01/08/21;  225.49
01/11/21;  227.6
01/12/21;  228.69
01/13/21;  226.8
01/14/21;  228.86
01/15/21;  226.5
01/18/21;  226.88
01/19/21;  223.15
01/20/21;  224.3
01/21/21;  217.28
01/22/21;  215.49
01/25/21;  218.68
01/26/21;  218.8
01/27/21;  217.4
01/28/21;  217.7
01/29/21;  212.83
02/01/21;  214.66
02/02/21;  214.42
02/03/21;  218.1
02/04/21;  219.79
02/05/21;  222.01
