DATE; SNGS
02/05/2020; 46.875
02/06/2020; 46.965
02/07/2020; 46.125
02/10/2020; 46.22
02/11/2020; 47.725
02/12/2020; 49
02/13/2020; 48.31
02/14/2020; 48.32
02/17/2020; 48.625
02/18/2020; 46.695
02/19/2020; 47.46
02/20/2020; 47.39
02/21/2020; 46.755
02/25/2020; 44.805
02/26/2020; 44
02/27/2020; 39.6
02/28/2020; 38.435
03/02/2020; 38.815
03/03/2020; 39.05
03/04/2020; 38.455
03/05/2020; 37.76
03/06/2020; 35.68
03/10/2020; 30.835
03/11/2020; 31.245
03/12/2020; 29.4
03/13/2020; 27.5
03/16/2020; 26.045
03/17/2020; 26.33
03/18/2020; 24.835
03/19/2020; 27
03/20/2020; 26.86
03/23/2020; 26.095
03/24/2020; 28.25
03/25/2020; 29.665
03/26/2020; 32.25
03/27/2020; 30.925
03/30/2020; 31.7
03/31/2020; 33.9
04/01/2020; 35
04/02/2020; 35.67
04/03/2020; 36.385
04/06/2020; 37.25
04/07/2020; 37.2
04/08/2020; 36.875
04/09/2020; 37.52
04/10/2020; 37.08
04/13/2020; 36.01
04/14/2020; 35.65
04/15/2020; 33.75
04/16/2020; 34.295
04/17/2020; 34.36
04/20/2020; 33.995
04/21/2020; 33.55
04/22/2020; 35.67
04/23/2020; 35.885
04/24/2020; 35.125
04/27/2020; 35
04/28/2020; 36.8
04/29/2020; 37.435
04/30/2020; 37.115
05/04/2020; 36.41
05/05/2020; 36.845
05/06/2020; 35.72
05/07/2020; 36.54
05/08/2020; 37.2
05/12/2020; 37.16
05/13/2020; 36.445
05/14/2020; 39.28
05/15/2020; 40.145
05/18/2020; 40.6
05/19/2020; 40.04
05/20/2020; 40.795
05/21/2020; 39
05/22/2020; 39.8
05/25/2020; 41.825
05/26/2020; 41.7
05/27/2020; 40.685
05/28/2020; 40.5
05/29/2020; 39.61
06/01/2020; 39.95
06/02/2020; 40.225
06/03/2020; 39.995
06/04/2020; 39.99
06/05/2020; 40.335
06/08/2020; 40.305
06/09/2020; 40.715
06/10/2020; 41.1
06/11/2020; 39.98
06/15/2020; 39.375
06/16/2020; 39.965
06/17/2020; 39.205
06/18/2020; 38.41
06/19/2020; 39.095
06/22/2020; 39.22
06/23/2020; 39.75
06/25/2020; 39.135
06/26/2020; 38.3
06/29/2020; 38.535
06/30/2020; 38.415
07/02/2020; 38.76
07/03/2020; 38.515
07/06/2020; 38.93
07/07/2020; 39.7
07/08/2020; 39.16
07/09/2020; 38.62
07/10/2020; 38.59
07/13/2020; 37.905
07/14/2020; 37.45
07/15/2020; 37.27
07/16/2020; 36.9
07/17/2020; 36.845
07/20/2020; 37.225
07/21/2020; 37.585
07/22/2020; 37.64
07/23/2020; 37.2
07/24/2020; 38.2
07/27/2020; 37.855
07/28/2020; 37.145
07/29/2020; 37.39
07/30/2020; 37.225
07/31/2020; 37.25
08/03/2020; 37.06
08/04/2020; 36.795
08/05/2020; 37.385
08/06/2020; 37.275
08/07/2020; 37.18
08/10/2020; 37.42
08/11/2020; 37.64
08/12/2020; 38.59
08/13/2020; 38.71
08/14/2020; 38.44
08/17/2020; 38.385
08/18/2020; 37.905
08/19/2020; 38.075
08/20/2020; 37.3
08/21/2020; 37.035
08/24/2020; 37.595
08/25/2020; 37.25
08/26/2020; 38.48
08/27/2020; 37.77
08/28/2020; 37.2
08/31/2020; 36.705
09/01/2020; 36.85
09/02/2020; 35.915
09/03/2020; 35.5
09/04/2020; 35.29
09/07/2020; 35.24
09/08/2020; 34.515
09/09/2020; 35.03
09/10/2020; 34.67
09/11/2020; 35.09
09/14/2020; 36.12
09/15/2020; 36.84
09/16/2020; 36.515
09/17/2020; 36.505
09/18/2020; 36.27
09/21/2020; 35.38
09/22/2020; 35.555
09/23/2020; 34.86
09/24/2020; 34.97
09/25/2020; 34.765
09/28/2020; 35.07
09/29/2020; 35.375
09/30/2020; 34.685
10/01/2020; 35.285
10/02/2020; 35.225
10/05/2020; 35.915
10/06/2020; 35.845
10/07/2020; 35.26
10/08/2020; 35.26
10/09/2020; 34.585
10/12/2020; 34.595
10/13/2020; 34.21
10/14/2020; 34.315
10/15/2020; 33.8
10/16/2020; 33.845
10/19/2020; 34.01
10/20/2020; 34.115
10/21/2020; 33.675
10/22/2020; 33.705
10/23/2020; 34
10/26/2020; 34
10/27/2020; 34.045
10/28/2020; 32.4
10/29/2020; 33.415
10/30/2020; 32.92
11/02/2020; 34.01
11/03/2020; 34.305
11/05/2020; 35.78
11/06/2020; 35.54
11/09/2020; 36.8
11/10/2020; 36.72
11/11/2020; 36.575
11/12/2020; 35.85
11/13/2020; 35.785
11/16/2020; 37.77
11/17/2020; 37.015
11/18/2020; 36.93
11/19/2020; 36.735
11/20/2020; 36.44
11/23/2020; 36.99
11/24/2020; 37.07
11/25/2020; 37.475
11/26/2020; 36.955
11/27/2020; 36.875
11/30/2020; 35.505
12/01/2020; 35.435
12/02/2020; 35.6
12/03/2020; 35.285
12/04/2020; 35.4
12/07/2020; 35.115
12/08/2020; 34.67
12/09/2020; 34.755
12/10/2020; 35.5
12/11/2020; 35.5
12/14/2020; 35.56
12/15/2020; 35.155
12/16/2020; 35.2
12/17/2020; 35.06
12/18/2020; 35.09
12/21/2020; 34.46
12/22/2020; 34.84
12/23/2020; 34.97
12/24/2020; 34.955
12/25/2020; 35.06
12/28/2020; 35.26
12/29/2020; 35.69
12/30/2020; 35.985
01/04/2021; 36.11
01/05/2021; 36.75
01/06/2021; 36.745
01/08/2021; 37.705
01/11/2021; 37.605
01/12/2021; 37.635
01/13/2021; 37.285
01/14/2021; 37.52
01/15/2021; 36.495
01/18/2021; 36.205
01/19/2021; 36.045
01/20/2021; 35.925
01/21/2021; 34.885
01/22/2021; 35.02
01/25/2021; 35.055
01/26/2021; 34.925
01/27/2021; 34.27
01/28/2021; 34.27
01/29/2021; 33.47
02/01/2021; 33.99
02/02/2021; 34.115
02/03/2021; 34.18
02/04/2021; 33.905
02/05/2021; 33.87
